samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
381,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7495.47303297356,-7109.75645793791,-385.716575035644
386,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7495.90812905946,-7111.55919726831,-384.348931791151
391,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7496.34605852969,-7111.50807491432,-384.837983615367
396,1.64153782228005,0.894631374227657,0,0,0.025,0.081769448921095,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7496.63727124535,-7110.67297296997,-385.964298275378
401,1.64153782228005,0.894631374227657,0,0,0.025,0.081769448921095,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7480.31192538041,-7093.16542810026,-387.146497280154
406,1.64153782228005,0.894631374227657,0,0,0.025,0.081769448921095,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7480.31192538041,-7093.16542810026,-387.146497280154
411,1.64153782228005,0.894631374227657,0,0,0.025,0.081769448921095,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7475.27484351244,-7087.88404445546,-387.390799056975
416,1.64153782228005,0.894631374227657,0,0,0.025,0.081769448921095,0,0.0912201663651026,0.118987436201281,1,8,1.20619960231462,0,1,10,0,-7478.6898196223,-7086.13235712789,-392.557462494414
421,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.118987436201281,1,8,1.20619960231462,0,1,10,0,-7481.12628803158,-7090.91663638658,-390.209651645002
426,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.123128021736776,1,8,1.20619960231462,0,1,10,0,-7480.47507900739,-7087.60283953536,-392.872239472028
431,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.123128021736776,1,8,1.20619960231462,0,1,10,0,-7469.91818513906,-7081.68343364092,-388.234751498144
436,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.123128021736776,1,8,1.20619960231462,0,1,10,0,-7472.7281378027,-7078.63838601816,-394.089751784543
441,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.126832992129788,1,8,1.20619960231462,0,1,10,0,-7471.80220542928,-7077.71245364474,-394.089751784543
446,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.126832992129788,1,8,1.20619960231462,0,1,10,0,-7466.58784499017,-7076.60785381582,-389.979991174349
451,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.126832992129788,1,8,1.20619960231462,0,1,10,0,-7466.63142457518,-7076.45806200786,-390.17336256733
456,1.64153782228005,0.894631374227657,0,0,0.025,0.0795269553227366,0,0.0912201663651026,0.126832992129788,1,8,1.20619960231462,0,1,10,0,-7466.63142457518,-7076.45806200786,-390.17336256733
