samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,exponential_waning,posterior_prob,likelihood,prior_prob
361,1.82545240626067,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0836205160136026,1,8,1.03990793025607,0,1,10,0,0,-10158.4066693184,-9261.7311323694,-896.675536948965
371,1.82545240626067,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0942638080722821,1,8,1.03990793025607,0,1,10,0,0,-10145.4192010323,-9246.90745611792,-898.511744914417
381,1.90356749667368,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0942638080722821,1,8,1.03990793025607,0,1,10,0,0,-10143.4584177902,-9244.10367558658,-899.354742203576
391,1.90356749667368,0.777351337598888,0,0,0.025,0.106276655009842,0,0.0948274486288683,0.12530215406391,1,8,1.03990793025607,0,1,10,0,0,-10134.2790470538,-9232.76518739003,-901.513859663785
401,1.90356749667368,0.777351337598888,0,0,0.025,0.106702931081925,0,0.0948274486288683,0.12211215432252,1,8,1.03990793025607,0,1,10,0,0,-10135.2814503925,-9221.3534732554,-913.927977137048
411,1.90356749667368,0.777351337598888,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.12211215432252,1,8,1.03990793025607,0,1,10,0,0,-10140.971710999,-9221.49928407018,-919.472426928867
421,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.159458320361406,1,8,1.03990793025607,0,1,10,0,0,-10105.3722794979,-9194.34819514276,-911.024084355094
431,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.159458320361406,1,8,1.03990793025607,0,1,10,0,0,-10101.1458045869,-9186.8913841384,-914.254420448454
441,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.159458320361406,1,8,1.10427200088477,0,1,10,0,0,-10084.7152269011,-9163.86960371729,-920.845623183848
451,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.18469804468965,1,8,1.10427200088477,0,1,10,0,0,-10084.2660326402,-9157.34804932841,-926.917983311768
461,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.18469804468965,1,8,1.10427200088477,0,1,10,0,0,-10080.0053779319,-9151.99798338691,-928.007394545025
471,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.167538088538666,1,8,1.10427200088477,0,1,10,0,0,-10073.9100124501,-9147.41691419413,-926.493098256021
481,1.90356749667368,0.791789412939036,0,0,0.025,0.106702931081925,0,0.0939017986253775,0.167538088538666,1,8,1.10427200088477,0,1,10,0,0,-10073.5683913259,-9152.45455722873,-921.113834097211
491,1.90356749667368,0.791789412939036,0,0,0.025,0.114708323392396,0,0.0939017986253775,0.167538088538666,1,8,1.10427200088477,0,1,10,0,0,-10070.8453327085,-9147.50812197763,-923.337210730898
501,1.90356749667368,0.880849546477364,0,0,0.025,0.153366646168349,0,0.0939017986253775,0.167538088538666,1,8,1.10427200088477,0,1,10,0,0,-10062.0149909983,-9150.66881263725,-911.346178361072
511,1.90356749667368,0.880849546477364,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.175203255494655,1,8,1.10427200088477,0,1,10,0,0,-10050.3321213283,-9148.37297293169,-901.959148396656
521,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.17915989200707,1,8,1.10427200088477,0,1,10,0,0,-10042.4718365796,-9137.22410011979,-905.247736459815
531,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.17915989200707,1,8,1.10427200088477,0,1,10,0,0,-10043.2305403754,-9135.06328437727,-908.167255998155
